claim_id	node_id	cell_id	record_or_family_id	member_domain	claim_kind	claim_text	domain	status	selection_status	assumptions_used	source_record_ids	source_hashes	payoff_date	evidence_path	proof_path
A-U-CLM-001	A_U	ALL	C-U-COMPLETE-VIEW-F1C823123A9B	all source members	substantive	Transport from C_U to A gives w_0=beta*(1-beta*o_0)/m, w_1=beta*(1-beta*o_1)/m, d_0=beta^2*o_0 and d_1=beta^2*o_1, with beta applied exactly once.	all primitive restrictions	proved	no source member selected; payoff-invariant coordinates retained	C_U native payoffs; A is one date before C; beta in (0,1)	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#3-transporte-de-c_u-para-a-uma-aplicação-de-beta
A-U-CLM-002	A_U	ALL	A-U-PBE-FAMILY-COLLECTION-V1	all members	substantive	Under unanimity each weak voter has exactly one pivotal profile, all other weak voters yes, and votes yes iff its own x_j is at least its own once-discounted literal continuation payoff; equality gives yes.	all feasible proposals and all weak identities	proved	unique vote from as-if-pivotal plus T^Y	sealed simultaneous weak ballot; H automatic yes; own-payoff comparison only	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#4-votação-fraca-sob-unanimidade
A-U-CLM-003	A_U	ALL	A-U-PBE-FAMILY-COLLECTION-V1	all members	substantive	Every proposal posterior must lie in E_U={0} union (nu_star,1]; otherwise a feasible rejected history requires the none cell of C_U and the assessment is inadmissible.	all feasible proposals	proved	no payoff sentinel and no silent domain restriction	kappa_U total on rejected histories; no signaling from weak votes	N4-SC-CELL-NU-ZERO;N4-SC-CELL-NO-PURE-PBE;N4-SC-CELL-HIGH-PRIOR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#5-crenças-e-continuação-literal
A-U-CLM-004	A_U	ALL	A-U-PBE-FAMILY-COLLECTION-V1	all members	substantive	The maximum accepted H payoffs are p_0=1-beta+beta^2*o_0 and p_1=1-beta+beta^2*o_1, while rejection pays d_0 or d_1 as specified by the selected continuation cell.	all primitive restrictions	proved	no equilibrium selected	feasibility; pivotal vote floors; full Y considered	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#6-jogo-reduzido-do-proponente
A-U-CLM-005	A_U	INTERIOR	A-U-FAM-LOW-PRIOR;A-U-FAM-HIGH-PRIOR-INTERIOR	0<nu<1	substantive	Every interior PBE equalizes the two type payoffs, U_0=U_1=u, and u lies in [max{p_0,d_1},p_1].	0<nu<1	proved	complete payoff restriction without choosing u	both types have positive prior; one-shot imitation at prescribed proposal beliefs	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#7-lema-de-equalização-no-interior
A-U-CLM-006	A_U	A-U-CELL-LOW-PRIOR-DELTA-NEGATIVE	NONE	0<nu<=nu_star and Delta<0	coverage	No PBE exists: equalization requires u>=d_1>p_0, which eliminates posterior-zero support and contradicts Bayes plausibility at nu<=nu_star.	0<nu<=nu_star and Delta<0	proved	cell is none; no payoff imputed	local Bayes; continuation none cell forbidden; pure weak votes	N4-SC-CELL-NO-PURE-PBE;N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#102-0nunu_star
A-U-CLM-007	A_U	A-U-CELL-LOW-PRIOR-DELTA-NONNEGATIVE	A-U-FAM-LOW-PRIOR	0<nu<=nu_star and Delta>=0	coverage	PBE exists and every member has payoff vector (p_0,p_0); the symbolic family generator is necessary and sufficient and includes separating, semi-pooling, mixing and delay at Delta=0.	0<nu<=nu_star and Delta>=0	proved	complete family retained; no member selected	local Bayes; Borel proposal measures; literal Borel kappa_U	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#9-gerador-necessário-e-suficiente-dos-membros-interiores
A-U-CLM-008	A_U	A-U-CELL-HIGH-PRIOR-INTERIOR	A-U-FAM-HIGH-PRIOR-INTERIOR	nu_star<nu<1	coverage	The complete H payoff image is the closed interval u in [max{p_0,d_1},p_1], and every point is attained by an atomic pooling witness while the family preserves all other admissible binders.	nu_star<nu<1	proved	interval and full binder family retained; no point selected	local Bayes; Borel proposal measures; literal Borel kappa_U	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#103-nu_starnu1
A-U-CLM-009	A_U	A-U-CELL-NU-ZERO	A-U-FAM-NU-ZERO	nu=0	substantive	At nu=0 the low type uniquely proposes q_0; the zero-prior high type's complete best-response family is determined by the sign of Delta and the type-payoff vector is (p_0,max{p_0,d_1}).	nu=0	proved	complete zero-prior best-response family retained	prior-support preservation; sequential rationality required for both types	N4-SC-EQ-L-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#101-endpoint-nu0
A-U-CLM-010	A_U	A-U-CELL-NU-ONE	A-U-FAM-NU-ONE	nu=1	substantive	At nu=1 support preservation fixes posterior one everywhere and both types have the unique proposal best response q_1, with payoff vector (p_1,p_1).	nu=1	proved	unique proposal and payoff; literal continuation multiplicity preserved	prior-support preservation; beta in (0,1)	N4-SC-EQ-P-STAR	sha256:f1c823123a9b218096d6d072ff5786775c91698ff0c2004791731d2d3406408b	A		model_redesign/agenda_extension_A_U_derivation_simplified.md#104-endpoint-nu1
